date,service,daily_cost,is_anomaly
2026-02-03,CloudFront,11.94,0
2026-02-03,EC2,48.86,0
2026-02-03,Lambda,7.21,0
2026-02-03,RDS,19.74,0
2026-02-03,S3,9.76,0
2026-02-04,CloudFront,10.79,0
2026-02-04,EC2,45.2,0
2026-02-04,Lambda,4.81,0
2026-02-04,RDS,24.12,0
2026-02-04,S3,8.98,0
2026-02-05,CloudFront,13.13,0
2026-02-05,EC2,44.65,0
2026-02-05,Lambda,4.46,0
2026-02-05,RDS,27.31,0
2026-02-05,S3,7.79,0
2026-02-06,CloudFront,13.7,0
2026-02-06,EC2,44.65,0
2026-02-06,Lambda,5.58,0
2026-02-06,RDS,24.7,0
2026-02-06,S3,12.81,0
2026-02-07,CloudFront,7.16,0
2026-02-07,EC2,319.57,1
2026-02-07,Lambda,4.93,0
2026-02-07,RDS,17.96,0
2026-02-07,S3,8.28,0
2026-02-08,CloudFront,6.24,0
2026-02-08,EC2,37.26,0
2026-02-08,Lambda,4.12,0
2026-02-08,RDS,15.07,0
2026-02-08,S3,7.81,0
2026-02-09,CloudFront,7.28,0
2026-02-09,EC2,42.66,0
2026-02-09,Lambda,4.58,0
2026-02-09,RDS,20.44,0
2026-02-09,S3,9.18,0
2026-02-10,CloudFront,12.67,0
2026-02-10,EC2,42.98,0
2026-02-10,Lambda,6.34,0
2026-02-10,RDS,22.95,0
2026-02-10,S3,7.65,0
2026-02-11,CloudFront,12.39,0
2026-02-11,EC2,30.98,0
2026-02-11,Lambda,4.83,0
2026-02-11,RDS,20.81,0
2026-02-11,S3,10.88,0
2026-02-12,CloudFront,17.23,0
2026-02-12,EC2,51.46,0
2026-02-12,Lambda,5.56,0
2026-02-12,RDS,88.88,1
2026-02-12,S3,8.95,0
2026-02-13,CloudFront,11.69,0
2026-02-13,EC2,43.54,0
2026-02-13,Lambda,4.97,0
2026-02-13,RDS,21.44,0
2026-02-13,S3,9.91,0
2026-02-14,CloudFront,8.33,0
2026-02-14,EC2,30.84,0
2026-02-14,Lambda,4.38,0
2026-02-14,RDS,10.82,0
2026-02-14,S3,6.08,0
2026-02-15,CloudFront,8.95,0
2026-02-15,EC2,31.32,0
2026-02-15,Lambda,4.15,0
2026-02-15,RDS,19.0,0
2026-02-15,S3,7.11,0
2026-02-16,CloudFront,12.24,0
2026-02-16,EC2,49.44,0
2026-02-16,Lambda,5.93,0
2026-02-16,RDS,24.47,0
2026-02-16,S3,8.33,0
2026-02-17,CloudFront,11.1,0
2026-02-17,EC2,46.7,0
2026-02-17,Lambda,8.71,0
2026-02-17,RDS,19.66,0
2026-02-17,S3,8.39,0
2026-02-18,CloudFront,9.76,0
2026-02-18,EC2,43.04,0
2026-02-18,Lambda,4.48,0
2026-02-18,RDS,22.84,0
2026-02-18,S3,9.6,0
2026-02-19,CloudFront,11.56,0
2026-02-19,EC2,42.55,0
2026-02-19,Lambda,7.35,0
2026-02-19,RDS,22.99,0
2026-02-19,S3,6.7,0
2026-02-20,CloudFront,11.48,0
2026-02-20,EC2,51.45,0
2026-02-20,Lambda,2.69,0
2026-02-20,RDS,19.0,0
2026-02-20,S3,6.77,0
2026-02-21,CloudFront,8.46,0
2026-02-21,EC2,29.66,0
2026-02-21,Lambda,3.25,0
2026-02-21,RDS,16.44,0
2026-02-21,S3,5.88,0
2026-02-22,CloudFront,9.89,0
2026-02-22,EC2,33.31,0
2026-02-22,Lambda,4.42,0
2026-02-22,RDS,17.07,0
2026-02-22,S3,6.53,0
2026-02-23,CloudFront,11.52,0
2026-02-23,EC2,44.68,0
2026-02-23,Lambda,5.58,0
2026-02-23,RDS,22.15,0
2026-02-23,S3,10.68,0
2026-02-24,CloudFront,8.48,0
2026-02-24,EC2,48.24,0
2026-02-24,Lambda,6.36,0
2026-02-24,RDS,20.65,0
2026-02-24,S3,8.92,0
2026-02-25,CloudFront,37.12,1
2026-02-25,EC2,61.98,0
2026-02-25,Lambda,5.33,0
2026-02-25,RDS,19.54,0
2026-02-25,S3,9.17,0
2026-02-26,CloudFront,11.07,0
2026-02-26,EC2,52.86,0
2026-02-26,Lambda,5.67,0
2026-02-26,RDS,22.03,0
2026-02-26,S3,8.7,0
2026-02-27,CloudFront,12.67,0
2026-02-27,EC2,47.26,0
2026-02-27,Lambda,5.65,0
2026-02-27,RDS,21.03,0
2026-02-27,S3,9.76,0
2026-02-28,CloudFront,8.59,0
2026-02-28,EC2,37.75,0
2026-02-28,Lambda,4.28,0
2026-02-28,RDS,18.46,0
2026-02-28,S3,5.75,0
2026-03-01,CloudFront,3.59,0
2026-03-01,EC2,29.71,0
2026-03-01,Lambda,4.33,0
2026-03-01,RDS,20.57,0
2026-03-01,S3,6.66,0
2026-03-02,CloudFront,12.17,0
2026-03-02,EC2,36.9,0
2026-03-02,Lambda,5.6,0
2026-03-02,RDS,26.19,0
2026-03-02,S3,9.89,0
2026-03-03,CloudFront,12.74,0
2026-03-03,EC2,38.26,0
2026-03-03,Lambda,5.35,0
2026-03-03,RDS,23.21,0
2026-03-03,S3,9.59,0
2026-03-04,CloudFront,8.55,0
2026-03-04,EC2,40.94,0
2026-03-04,Lambda,5.49,0
2026-03-04,RDS,20.77,0
2026-03-04,S3,9.22,0
2026-03-05,CloudFront,9.92,0
2026-03-05,EC2,49.35,0
2026-03-05,Lambda,6.02,0
2026-03-05,RDS,26.09,0
2026-03-05,S3,9.24,0
2026-03-06,CloudFront,11.36,0
2026-03-06,EC2,51.1,0
2026-03-06,Lambda,6.04,0
2026-03-06,RDS,25.19,0
2026-03-06,S3,10.06,0
2026-03-07,CloudFront,7.54,0
2026-03-07,EC2,33.12,0
2026-03-07,Lambda,3.69,0
2026-03-07,RDS,20.36,0
2026-03-07,S3,9.55,0
2026-03-08,CloudFront,7.8,0
2026-03-08,EC2,31.35,0
2026-03-08,Lambda,11.84,1
2026-03-08,RDS,17.5,0
2026-03-08,S3,5.82,0
2026-03-09,CloudFront,12.2,0
2026-03-09,EC2,37.33,0
2026-03-09,Lambda,6.13,0
2026-03-09,RDS,28.99,0
2026-03-09,S3,12.98,0
2026-03-10,CloudFront,10.06,0
2026-03-10,EC2,52.32,0
2026-03-10,Lambda,4.31,0
2026-03-10,RDS,23.68,0
2026-03-10,S3,7.81,0
2026-03-11,CloudFront,7.97,0
2026-03-11,EC2,52.78,0
2026-03-11,Lambda,5.15,0
2026-03-11,RDS,20.75,0
2026-03-11,S3,5.54,0
2026-03-12,CloudFront,13.6,0
2026-03-12,EC2,40.84,0
2026-03-12,Lambda,6.96,0
2026-03-12,RDS,21.33,0
2026-03-12,S3,8.29,0
2026-03-13,CloudFront,9.1,0
2026-03-13,EC2,40.03,0
2026-03-13,Lambda,3.96,0
2026-03-13,RDS,24.8,0
2026-03-13,S3,9.79,0
2026-03-14,CloudFront,8.14,0
2026-03-14,EC2,33.68,0
2026-03-14,Lambda,4.77,0
2026-03-14,RDS,15.54,0
2026-03-14,S3,9.19,0
2026-03-15,CloudFront,7.64,0
2026-03-15,EC2,40.36,0
2026-03-15,Lambda,2.48,0
2026-03-15,RDS,21.41,0
2026-03-15,S3,5.65,0
2026-03-16,CloudFront,8.81,0
2026-03-16,EC2,47.94,0
2026-03-16,Lambda,7.7,0
2026-03-16,RDS,24.51,0
2026-03-16,S3,10.05,0
2026-03-17,CloudFront,68.7,1
2026-03-17,EC2,43.71,0
2026-03-17,Lambda,5.12,0
2026-03-17,RDS,23.13,0
2026-03-17,S3,6.92,0
2026-03-18,CloudFront,13.25,0
2026-03-18,EC2,45.65,0
2026-03-18,Lambda,6.21,0
2026-03-18,RDS,23.41,0
2026-03-18,S3,12.36,0
2026-03-19,CloudFront,10.24,0
2026-03-19,EC2,37.84,0
2026-03-19,Lambda,5.88,0
2026-03-19,RDS,22.11,0
2026-03-19,S3,11.23,0
2026-03-20,CloudFront,12.4,0
2026-03-20,EC2,51.99,0
2026-03-20,Lambda,25.73,1
2026-03-20,RDS,17.24,0
2026-03-20,S3,8.39,0
2026-03-21,CloudFront,8.47,0
2026-03-21,EC2,31.73,0
2026-03-21,Lambda,6.08,0
2026-03-21,RDS,15.77,0
2026-03-21,S3,4.62,0
2026-03-22,CloudFront,9.48,0
2026-03-22,EC2,27.65,0
2026-03-22,Lambda,4.82,0
2026-03-22,RDS,21.01,0
2026-03-22,S3,8.53,0
2026-03-23,CloudFront,14.25,0
2026-03-23,EC2,44.78,0
2026-03-23,Lambda,4.27,0
2026-03-23,RDS,23.77,0
2026-03-23,S3,9.0,0
2026-03-24,CloudFront,11.14,0
2026-03-24,EC2,43.55,0
2026-03-24,Lambda,44.41,1
2026-03-24,RDS,26.61,0
2026-03-24,S3,11.34,0
2026-03-25,CloudFront,10.48,0
2026-03-25,EC2,48.88,0
2026-03-25,Lambda,5.98,0
2026-03-25,RDS,26.72,0
2026-03-25,S3,9.21,0
2026-03-26,CloudFront,9.46,0
2026-03-26,EC2,52.66,0
2026-03-26,Lambda,4.62,0
2026-03-26,RDS,22.87,0
2026-03-26,S3,9.28,0
2026-03-27,CloudFront,8.34,0
2026-03-27,EC2,53.89,0
2026-03-27,Lambda,6.93,0
2026-03-27,RDS,25.25,0
2026-03-27,S3,8.42,0
2026-03-28,CloudFront,5.76,0
2026-03-28,EC2,34.75,0
2026-03-28,Lambda,17.14,1
2026-03-28,RDS,12.98,0
2026-03-28,S3,7.59,0
2026-03-29,CloudFront,7.36,0
2026-03-29,EC2,32.91,0
2026-03-29,Lambda,5.63,0
2026-03-29,RDS,20.77,0
2026-03-29,S3,6.95,0
2026-03-30,CloudFront,13.89,0
2026-03-30,EC2,43.89,0
2026-03-30,Lambda,7.56,0
2026-03-30,RDS,27.76,0
2026-03-30,S3,10.09,0
2026-03-31,CloudFront,13.06,0
2026-03-31,EC2,30.73,0
2026-03-31,Lambda,5.57,0
2026-03-31,RDS,24.7,0
2026-03-31,S3,6.55,0
2026-04-01,CloudFront,10.38,0
2026-04-01,EC2,47.99,0
2026-04-01,Lambda,6.68,0
2026-04-01,RDS,23.9,0
2026-04-01,S3,11.4,0
2026-04-02,CloudFront,16.46,0
2026-04-02,EC2,48.6,0
2026-04-02,Lambda,5.35,0
2026-04-02,RDS,22.91,0
2026-04-02,S3,11.88,0
2026-04-03,CloudFront,10.11,0
2026-04-03,EC2,45.05,0
2026-04-03,Lambda,5.98,0
2026-04-03,RDS,27.05,0
2026-04-03,S3,9.4,0
2026-04-04,CloudFront,10.71,0
2026-04-04,EC2,29.99,0
2026-04-04,Lambda,2.95,0
2026-04-04,RDS,18.97,0
2026-04-04,S3,9.43,0
2026-04-05,CloudFront,11.15,0
2026-04-05,EC2,39.97,0
2026-04-05,Lambda,3.57,0
2026-04-05,RDS,9.74,0
2026-04-05,S3,9.04,0
2026-04-06,CloudFront,12.56,0
2026-04-06,EC2,45.89,0
2026-04-06,Lambda,6.41,0
2026-04-06,RDS,21.75,0
2026-04-06,S3,10.31,0
2026-04-07,CloudFront,9.94,0
2026-04-07,EC2,36.38,0
2026-04-07,Lambda,3.73,0
2026-04-07,RDS,19.14,0
2026-04-07,S3,11.56,0
2026-04-08,CloudFront,10.66,0
2026-04-08,EC2,46.59,0
2026-04-08,Lambda,5.86,0
2026-04-08,RDS,18.53,0
2026-04-08,S3,11.03,0
2026-04-09,CloudFront,92.8,1
2026-04-09,EC2,43.51,0
2026-04-09,Lambda,5.96,0
2026-04-09,RDS,27.0,0
2026-04-09,S3,6.17,0
2026-04-10,CloudFront,9.65,0
2026-04-10,EC2,48.75,0
2026-04-10,Lambda,6.45,0
2026-04-10,RDS,22.84,0
2026-04-10,S3,8.74,0
2026-04-11,CloudFront,10.71,0
2026-04-11,EC2,32.9,0
2026-04-11,Lambda,2.96,0
2026-04-11,RDS,18.22,0
2026-04-11,S3,7.71,0
2026-04-12,CloudFront,9.66,0
2026-04-12,EC2,35.44,0
2026-04-12,Lambda,2.81,0
2026-04-12,RDS,17.2,0
2026-04-12,S3,8.88,0
2026-04-13,CloudFront,14.16,0
2026-04-13,EC2,45.96,0
2026-04-13,Lambda,6.89,0
2026-04-13,RDS,18.57,0
2026-04-13,S3,6.82,0
2026-04-14,CloudFront,12.15,0
2026-04-14,EC2,41.54,0
2026-04-14,Lambda,5.96,0
2026-04-14,RDS,17.63,0
2026-04-14,S3,6.26,0
2026-04-15,CloudFront,9.87,0
2026-04-15,EC2,50.45,0
2026-04-15,Lambda,5.36,0
2026-04-15,RDS,21.52,0
2026-04-15,S3,9.1,0
2026-04-16,CloudFront,12.9,0
2026-04-16,EC2,54.08,0
2026-04-16,Lambda,3.96,0
2026-04-16,RDS,21.8,0
2026-04-16,S3,5.63,0
2026-04-17,CloudFront,14.52,0
2026-04-17,EC2,54.01,0
2026-04-17,Lambda,5.29,0
2026-04-17,RDS,21.8,0
2026-04-17,S3,9.05,0
2026-04-18,CloudFront,8.98,0
2026-04-18,EC2,31.9,0
2026-04-18,Lambda,3.33,0
2026-04-18,RDS,16.18,0
2026-04-18,S3,7.27,0
2026-04-19,CloudFront,6.93,0
2026-04-19,EC2,37.92,0
2026-04-19,Lambda,5.04,0
2026-04-19,RDS,22.3,0
2026-04-19,S3,5.6,0
2026-04-20,CloudFront,10.16,0
2026-04-20,EC2,310.35,1
2026-04-20,Lambda,4.23,0
2026-04-20,RDS,26.55,0
2026-04-20,S3,9.09,0
2026-04-21,CloudFront,11.59,0
2026-04-21,EC2,51.02,0
2026-04-21,Lambda,5.49,0
2026-04-21,RDS,23.82,0
2026-04-21,S3,10.85,0
2026-04-22,CloudFront,14.85,0
2026-04-22,EC2,39.89,0
2026-04-22,Lambda,6.69,0
2026-04-22,RDS,22.75,0
2026-04-22,S3,8.29,0
2026-04-23,CloudFront,15.64,0
2026-04-23,EC2,48.72,0
2026-04-23,Lambda,6.46,0
2026-04-23,RDS,22.87,0
2026-04-23,S3,7.83,0
2026-04-24,CloudFront,9.54,0
2026-04-24,EC2,41.5,0
2026-04-24,Lambda,5.23,0
2026-04-24,RDS,25.53,0
2026-04-24,S3,9.02,0
2026-04-25,CloudFront,9.11,0
2026-04-25,EC2,32.63,0
2026-04-25,Lambda,4.79,0
2026-04-25,RDS,16.79,0
2026-04-25,S3,5.48,0
2026-04-26,CloudFront,7.49,0
2026-04-26,EC2,37.46,0
2026-04-26,Lambda,4.95,0
2026-04-26,RDS,19.34,0
